Filename	DirectLink	FileLink
A20420657	https://drive.google.com/uc?id=15ptKAzc9oau_D9QcXSHZiopvrju9QcA_&export=download	https://drive.google.com/file/d/15ptKAzc9oau_D9QcXSHZiopvrju9QcA_/edit
A20420643	https://drive.google.com/uc?id=1IsA8ZOcDncUfWoa58ugDULrYghkBq4vu&export=download	https://drive.google.com/file/d/1IsA8ZOcDncUfWoa58ugDULrYghkBq4vu/edit
A20420639	https://drive.google.com/uc?id=1nDRX6b43gecPk6m0xS29SWcyG7GuEZlM&export=download	https://drive.google.com/file/d/1nDRX6b43gecPk6m0xS29SWcyG7GuEZlM/edit
A20420627	https://drive.google.com/uc?id=10lRLdwEC2eDAejqvHW7B7rST74afvIVr&export=download	https://drive.google.com/file/d/10lRLdwEC2eDAejqvHW7B7rST74afvIVr/edit
A20420622	https://drive.google.com/uc?id=1uTq9cPyWupGhmuN0VnfuzlxvKzTBe6Bd&export=download	https://drive.google.com/file/d/1uTq9cPyWupGhmuN0VnfuzlxvKzTBe6Bd/edit
A20420621	https://drive.google.com/uc?id=1QSshgBFlQeYlJgrA1QU2LRBUIroXg1uV&export=download	https://drive.google.com/file/d/1QSshgBFlQeYlJgrA1QU2LRBUIroXg1uV/edit
A20420617	https://drive.google.com/uc?id=1rYnXdbfbctC7CwAipEe9fXrHK3t1zUIz&export=download	https://drive.google.com/file/d/1rYnXdbfbctC7CwAipEe9fXrHK3t1zUIz/edit
A20420616	https://drive.google.com/uc?id=12AtAWD1ZRoYxk74yhcvTSy5Oy0blsnM5&export=download	https://drive.google.com/file/d/12AtAWD1ZRoYxk74yhcvTSy5Oy0blsnM5/edit
A20420604	https://drive.google.com/uc?id=1JVmAPd89J0UFBb9J0CaP1pMfwDFwEWUf&export=download	https://drive.google.com/file/d/1JVmAPd89J0UFBb9J0CaP1pMfwDFwEWUf/edit
A20620813	https://drive.google.com/uc?id=1VRa4hSUe0ycJk0tYTL6JVIzQ5Vbmr345&export=download	https://drive.google.com/file/d/1VRa4hSUe0ycJk0tYTL6JVIzQ5Vbmr345/edit
A20420597	https://drive.google.com/uc?id=1XcQlyXdMd9yId79h6heNQOVRNvdWG9pl&export=download	https://drive.google.com/file/d/1XcQlyXdMd9yId79h6heNQOVRNvdWG9pl/edit
A20420595	https://drive.google.com/uc?id=1OipaZtSXOGGpNTE7FjarikDstv_1YXZi&export=download	https://drive.google.com/file/d/1OipaZtSXOGGpNTE7FjarikDstv_1YXZi/edit
A20420586	https://drive.google.com/uc?id=1sz-Ql3AEGnGsXcj-0fcy9gK4DTr0arRM&export=download	https://drive.google.com/file/d/1sz-Ql3AEGnGsXcj-0fcy9gK4DTr0arRM/edit
A20420594	https://drive.google.com/uc?id=1PYSCbiPEL6c-KFoFLSY88YzWoLLu6_BG&export=download	https://drive.google.com/file/d/1PYSCbiPEL6c-KFoFLSY88YzWoLLu6_BG/edit
A20420583	https://drive.google.com/uc?id=1M9A0BlBcJe9M5l3DLr4sf9W1jTm2DVde&export=download	https://drive.google.com/file/d/1M9A0BlBcJe9M5l3DLr4sf9W1jTm2DVde/edit
A20420582	https://drive.google.com/uc?id=1ugIg5vXu8EILzDHtZJdTUPTdW3TK9_nB&export=download	https://drive.google.com/file/d/1ugIg5vXu8EILzDHtZJdTUPTdW3TK9_nB/edit
A20420563	https://drive.google.com/uc?id=1LIJk4qfgFy8jBR7XUKY0VEQ33oalPRR_&export=download	https://drive.google.com/file/d/1LIJk4qfgFy8jBR7XUKY0VEQ33oalPRR_/edit
